Year,Date,Time,Location, Crash Type ,Crash Type #,Number of IMT Teams,Number of UHP Teams,RT,Response Time IMT,Response Time UHP,RCT for IMT,RCT for  UHP,ICT for IMT,ICT for  UHP,Lanes at Bottleneck,Number of Lanes Closed,,Affected Volume,Total Excess Travel Time,Total Teams,% Trucks, Individual Hourly Cost , Truck Hourly Cost ,AVO,Cost ($),Time Range,Time Range #,Excess Travel Time Per Vehicle (hours) ,T0,T1,T7,T1-T0,T7-T5,T7-T0,T5-T0,T7-T0 mod,
2018,3/1/2018,14:33:27,8200 S I15 NB                                               ,PI Crash,2,1,4,22.08384,0.015336,0,0.049688,0.049688,0.050613,0.064259,6,1,0.167,8244,749.32,5,10.06%,$17.81 ,$53.69 ,1.34,"$20,130.41 ",Afternoon Off Peak,3,0.0909,14:30,14:33,15:50,0:03,0:05,1:20,1:15,80,
2018,3/1/2018,15:12:48,10700 S I15 NB                                              ,PD Crash,3,1,1,15.9336,0.011065,0.012928,0.020278,0.020278,0.054931,0.05485,5,2,0.4,10630,755.07,2,10.06%,$17.81 ,$53.69 ,1.34,"$20,284.88 ",Afternoon Off Peak,3,0.071,15:10,15:12,16:40,0:02,0:58,1:30,0:32,90,
2018,3/1/2018,17:30:53,14793 S I15 SB                                              ,PI Crash,2,1,2,10.70064,0.007431,0,0.016748,0.016748,0.021366,0.099063,7,2,0.286,6877,331.53,3,7.96%,$17.81 ,$53.69 ,1.22,"$8,046.62 ",PM Peak,4,0.0482,17:30,17:30,18:20,0:00,0:25,0:50,0:25,50,
2018,3/2/2018,7:29:18,277023 I15 NB                                               ,PD Crash,3,1,5,20.41632,0.014178,0.000012,0.006736,0.006736,0.0386,0.068113,6,1,0.167,4371,288.19,6,6.88%,$17.81 ,$53.69 ,1.11,"$6,369.82 ",AM Peak,2,0.0659,7:30,7:29,8:20,###############################################################################################################################################################################################################################################################,0:41,0:50,0:09,50,
2018,3/2/2018,7:59:07,274983 I15 NB                                               ,PI Crash,2,2,3,39.2328,0.027245,0.009282,0.02353,0.02353,0.013113,0.072708,6,2,0.333,7295,301.89,5,6.88%,$17.81 ,$53.69 ,1.11,"$6,672.63 ",AM Peak,2,0.0414,7:59,7:59,9:10,0:00,0:37,1:11,0:34,71,
2018,3/4/2018,11:41:15,500 S I15 SB                                                ,PD Crash,3,1,4,19.59984,0.013611,0.002465,0.029688,0.029688,0.029688,0.015104,5,3,0.6,1545,45.33,5,10.06%,$17.81 ,$53.69 ,1.36,"$1,232.31 ",Afternoon Off Peak,3,0.0293,11:40,11:41,12:10,0:01,###############################################################################################################################################################################################################################################################,0:30,0:44,30,
2018,3/5/2018,15:32:37,8900 S I15 NB                                               ,PD Crash,3,2,4,19.91664,0.013831,0.006458,0.011377,0.011377,0.044803,0.044803,5,2,0.4,8527,2086.15,6,10.06%,$17.81 ,$53.69 ,1.34,"$56,044.22 ",Afternoon Off Peak,3,0.2447,15:32,15:32,16:45,0:00,0:56,1:13,0:17,73,
2018,3/6/2018,9:02:50,3800 S I215E SB                                             ,PI Crash,2,2,4,7.96608,0.005532,0.005532,0.039005,0.039005,0.040359,0.062743,3,2,0.667,1792,14.64,6,5.96%,$17.81 ,$53.69 ,1.14,$326.37 ,AM Peak,2,0.0082,9:00,9:02,9:55,0:02,###############################################################################################################################################################################################################################################################,0:55,0:59,55,
2018,3/6/2018,16:41:15,376 N I215W NB                                              ,PD Crash,3,1,1,29.9664,0.02081,0.013519,0.019965,0.019965,0.090926,0.089352,3,1,0.333,8933,580.07,2,9.70%,$17.81 ,$53.69 ,1.27,"$14,868.71 ",PM Peak,4,0.0649,16:40,16:41,18:45,0:01,1:35,2:05,0:30,125,
2018,3/7/2018,7:31:06,7762 E I80 EB                                               ,PD Crash,3,2,3,20.28384,0.014086,0.008275,0.018681,0.018681,0.065984,0.054884,3,1,0.333,2605,46.95,5,10.90%,$17.81 ,$53.69 ,1.14,"$1,124.10 ",AM Peak,2,0.018,7:25,7:31,8:25,0:06,0:27,1:00,0:33,60,
