Year,Date,Time,Location, Crash Type ,Crash Type #,Number of IMT Teams,Number of UHP Teams,Response Time IMT,Response Time UHP,RCT for IMT,RCT for  UHP,ICT for IMT,ICT for  UHP,Lanes at Bottleneck,Number of Lanes Closed,Affected Volume,Total Excess Travel Time,Total Teams,% Trucks, Individual Hourly Cost , Truck Hourly Cost ,AVO,Cost ($),Time Range,Time Range #,Excess Travel Time Per Vehicle (hours) ,T0,T1,T7,T1-T0,T7-T5,T7-T0,T5-T0
2018,3/1/2018,14:33:27,8200 S I15 NB                                               ,PI Crash,2,1,4,0:22:05,0:00:00,1:11:33,1:11:33,1:12:53,1:32:32,6,1,8244,749.32,5,10.06%, $17.81 , $53.69 ,1.34," $20,130.41 ",Afternoon Off Peak,3,0.0909,14:30,14:33,15:50,0:03,0:05,1:20,1:15
2018,3/1/2018,15:12:48,10700 S I15 NB                                              ,PD Crash,3,1,1,0:15:56,0:18:37,0:29:12,0:29:12,1:19:06,1:18:59,5,2,10630,755.07,2,10.06%, $17.81 , $53.69 ,1.34," $20,284.88 ",Afternoon Off Peak,3,0.0710,15:10,15:12,16:40,0:02,0:58,1:30,0:32
2018,3/1/2018,17:30:53,14793 S I15 SB                                              ,PI Crash,2,1,2,0:10:42,0:00:00,0:24:07,0:24:07,0:30:46,2:22:39,7,2,6877,331.53,3,7.96%, $17.81 , $53.69 ,1.22," $8,046.62 ",PM Peak,4,0.0482,17:30,17:30,18:20,0:00,0:25,0:50,0:25
2018,3/2/2018,7:29:18,277023 I15 NB                                               ,PD Crash,3,1,5,0:20:25,0:00:01,0:09:42,0:09:42,0:55:35,1:38:05,6,1,4371,288.19,6,6.88%, $17.81 , $53.69 ,1.11," $6,369.82 ",AM Peak,2,0.0659,7:30,7:29,8:20,###############################################################################################################################################################################################################################################################,0:41,0:50,0:09
2018,3/2/2018,7:59:07,274983 I15 NB                                               ,PI Crash,2,2,3,0:39:14,0:13:22,0:33:53,0:33:53,0:18:53,1:44:42,6,2,7295,301.89,5,6.88%, $17.81 , $53.69 ,1.11," $6,672.63 ",AM Peak,2,0.0414,7:59,7:59,9:10,0:00,0:37,1:11,0:34
2018,3/4/2018,11:41:15,500 S I15 SB                                                ,PD Crash,3,1,4,0:19:36,0:03:33,0:42:45,0:42:45,0:42:45,0:21:45,5,3,1545,45.33,5,10.06%, $17.81 , $53.69 ,1.36," $1,232.31 ",Afternoon Off Peak,3,0.0293,11:40,11:41,12:10,0:01,###############################################################################################################################################################################################################################################################,0:30,0:44
2018,3/5/2018,15:32:37,8900 S I15 NB                                               ,PD Crash,3,2,4,0:19:55,0:09:18,0:16:23,0:16:23,1:04:31,1:04:31,5,2,8527,2086.15,6,10.06%, $17.81 , $53.69 ,1.34," $56,044.22 ",Afternoon Off Peak,3,0.2447,15:32,15:32,16:45,0:00,0:56,1:13,0:17
2018,3/6/2018,9:02:50,3800 S I215E SB                                             ,PI Crash,2,2,4,0:07:58,0:07:58,0:56:10,0:56:10,0:58:07,1:30:21,3,2,1792,14.64,6,5.96%, $17.81 , $53.69 ,1.14, $326.37 ,AM Peak,2,0.0082,9:00,9:02,9:55,0:02,###############################################################################################################################################################################################################################################################,0:55,0:59
2018,3/6/2018,16:41:15,376 N I215W NB                                              ,PD Crash,3,1,1,0:29:58,0:19:28,0:28:45,0:28:45,2:10:56,2:08:40,3,1,8933,580.07,2,9.70%, $17.81 , $53.69 ,1.27," $14,868.71 ",PM Peak,4,0.0649,16:40,16:41,18:45,0:01,1:35,2:05,0:30
2018,3/7/2018,7:31:06,7762 E I80 EB                                               ,PD Crash,3,2,3,0:20:17,0:11:55,0:26:54,0:26:54,1:35:01,1:19:02,3,1,2605,46.95,5,10.90%, $17.81 , $53.69 ,1.14," $1,124.10 ",AM Peak,2,0.0180,7:25,7:31,8:25,0:06,0:27,1:00,0:33
2018,3/7/2018,8:56:41,277562 I15 NB                                               ,PI Crash,2,2,4,0:13:11,0:02:52,0:40:19,0:40:19,1:08:16,3:37:13,6,2,6184,483.09,6,6.88%, $17.81 , $53.69 ,1.11," $10,677.67 ",AM Peak,2,0.0781,8:55,8:56,10:00,0:01,0:23,1:05,0:42
2018,3/7/2018,9:14:42,281930 I15 NB; MM 282 I15 NB                                ,PI Crash,2,1,3,0:12:43,0:07:11,0:16:18,0:16:18,0:31:09,1:22:28,5,1,4092,52.16,4,10.06%, $17.81 , $53.69 ,1.34," $1,401.27 ",Afternoon Off Peak,3,0.0127,9:15,9:14,10:10,###############################################################################################################################################################################################################################################################,0:39,0:55,0:16
2018,3/7/2018,17:25:07,1400 W I215S WB                                             ,PI Crash,2,2,7,0:12:52,0:05:29,1:02:53,1:02:53,1:07:17,1:18:19,5,4,6982,530.04,9,9.70%, $17.81 , $53.69 ,1.27," $13,586.31 ",PM Peak,4,0.0759,5:20,17:25,6:45,12:05,###############################################################################################################################################################################################################################################################,1:25,13:08
2018,3/8/2018,16:27:17,900 S I15 SB                                                ,PD Crash,3,1,3,0:26:40,0:10:13,0:23:43,0:23:43,0:55:03,0:54:48,5,2,6035,175.65,4,7.96%, $17.81 , $53.69 ,1.22," $4,263.23 ",PM Peak,4,0.0291,16:25,16:27,17:30,0:02,0:39,1:05,0:26
2018,3/9/2018,9:51:34,9488 S I15 NB                                               ,PD Crash,3,1,2,0:13:49,0:10:16,0:48:26,0:48:26,1:08:34,1:11:40,5,2,8575,289.70,3,10.06%, $17.81 , $53.69 ,1.34," $7,782.76 ",Afternoon Off Peak,3,0.0338,9:50,9:51,11:05,0:01,0:25,1:15,0:50
2018,3/9/2018,16:13:23,1700 S I15 SB                                               ,PD Crash,3,1,3,0:11:57,0:00:00,0:19:37,0:19:37,0:16:25,1:11:27,5,2,7560,327.88,4,7.96%, $17.81 , $53.69 ,1.22," $7,958.03 ",PM Peak,4,0.0434,16:05,16:13,17:30,0:08,0:57,1:25,0:28
2018,3/13/2018,11:13:41,6400 S I15 NB                                               ,PD Crash,3,2,4,0:11:06,0:00:00,1:06:19,1:06:19,1:36:04,5:02:48,5,2,8798,386.70,6,10.06%, $17.81 , $53.69 ,1.34," $10,388.66 ",Afternoon Off Peak,3,0.0440,11:10,11:13,12:25,0:03,0:05,1:15,1:10
2018,3/13/2018,14:32:03,3300 S I15 SB                                               ,PD Crash,3,1,2,0:14:59,0:12:50,0:14:57,0:14:57,0:32:13,1:21:48,4,1,4889,155.73,3,10.06%, $17.81 , $53.69 ,1.36," $4,233.56 ",Afternoon Off Peak,3,0.0319,14:30,14:32,15:10,0:02,0:23,0:40,0:17
2018,3/13/2018,17:28:56,271005 I15 SB                                               ,PI Crash,2,1,3,0:25:47,0:04:55,0:10:04,0:10:04,0:34:42,0:53:26,6,2,6359,327.45,4,7.96%, $17.81 , $53.69 ,1.22," $7,947.59 ",PM Peak,4,0.0515,17:25,17:28,18:10,0:03,0:31,0:45,0:14
2018,3/13/2018,14:47:49,281917 I15 SB; MM 282 I15 SB                                ,PI Crash,2,2,4,0:18:59,0:03:04,0:58:11,0:58:11,0:59:03,1:42:50,5,2,27602,3228.09,6,10.06%, $17.81 , $53.69 ,1.36," $87,756.53 ",Afternoon Off Peak,3,0.1170,14:45,14:47,19:00,0:02,3:14,4:15,1:01
2018,3/14/2018,7:08:27,11100 S I15 NB                                              ,PD Crash,3,1,2,0:00:02,0:00:06,0:04:33,0:04:33,0:09:41,0:56:48,5,4,6477,321.24,3,6.88%, $17.81 , $53.69 ,1.11," $7,100.32 ",AM Peak,2,0.0496,7:05,7:08,7:55,0:03,0:42,0:50,0:08
2018,3/15/2018,12:18:41,7682 E I80 WB                                               ,PI Crash,2,2,3,0:07:29,0:09:39,1:04:19,1:04:19,1:21:33,1:57:51,3,2,1662,14.69,5,13.45%, $17.81 , $53.69 ,1.35, $411.77 ,Afternoon Off Peak,3,0.0088,12:18,12:18,13:25,0:00,0:02,1:07,1:05
2018,3/15/2018,12:49:41,2800 S I215E NB                                             ,PI Crash,2,1,3,0:03:42,0:10:40,0:21:19,0:21:19,0:51:05,2:12:37,3,1,1074,-0.83,4,5.96%, $17.81 , $53.69 ,1.35, $(21.42),Afternoon Off Peak,3,-0.0008,12:49,12:49,13:15,0:00,0:04,0:26,0:22
2018,3/15/2018,16:48:01,4100 S I215E NB                                             ,PD Crash,3,2,2,0:30:50,0:16:03,1:21:59,1:21:59,1:27:10,1:46:34,3,1,4605,700.07,4,9.70%, $17.81 , $53.69 ,1.27," $17,944.63 ",PM Peak,4,0.1520,16:45,16:48,18:25,0:03,0:15,1:40,1:25
2018,3/16/2018,5:41:27,253007 I15 SB                                               ,Fatal,1,2,9,0:39:19,0:16:06,3:47:33,3:47:33,4:16:45,5:33:43,3,3,8661,1699.01,11,6.88%, $17.81 , $53.69 ,1.36," $44,597.36 ",Morning Off Peak,1,0.1962,5:40,5:41,9:35,0:01,0:06,3:55,3:49
2018,3/16/2018,11:34:20,5400 S I15 NB                                               ,PD Crash,3,1,3,0:12:02,0:05:48,0:12:40,0:12:40,0:18:53,0:53:16,5,2,5532,104.46,4,10.06%, $17.81 , $53.69 ,1.34," $2,806.31 ",Afternoon Off Peak,3,0.0189,11:30,11:34,12:15,0:04,0:28,0:45,0:17
